"Date","Price","Open","High","Low","Vol.","Change %"
"2024/07/23","80,706.44","80,446.52","80,869.41","79,879.87","199.95M","0.27%"
"2024/07/22","80,492.09","80,248.51","80,679.53","79,922.67","174.08M","0.71%"
"2024/07/19","79,922.67","79,831.16","79,922.67","79,488.40","183.22M","-0.51%"
"2024/07/18","80,334.26","80,770.71","81,007.56","80,301.67","265.68M","-0.15%"
"2024/07/17","80,452.58","81,062.85","81,124.08","80,452.58","246.43M","-0.83%"
"2024/07/16","81,124.08","81,276.81","82,154.07","80,973.32","199.03M","-1.25%"
"2024/07/15","82,154.07","81,379.15","82,154.07","81,058.35","254.95M","0.57%"
"2024/07/12","81,686.49","81,345.87","81,792.55","81,093.99","174.72M","0.73%"
"2024/07/11","81,093.99","80,781.74","81,105.46","80,445.31","276.88M","0.81%"
"2024/07/10","80,445.31","80,550.46","80,660.23","80,280.03","191.75M","-0.22%"
"2024/07/09","80,620.02","80,754.96","80,900.35","80,306.35","208.70M","-0.20%"
"2024/07/08","80,783.51","80,753.45","80,954.49","80,438.72","191.49M","-0.02%"
"2024/07/05","80,797.38","81,122.06","81,289.52","80,665.69","165.99M","-0.44%"
"2024/07/04","81,155.28","80,992.87","81,456.39","80,772.78","213.18M","0.47%"
"2024/07/03","80,772.78","80,051.48","81,032.55","79,435.12","277.37M","1.68%"
"2024/07/02","79,435.12","79,990.64","79,990.64","79,043.65","281.74M","-0.52%"
"2024/07/01","79,853.83","80,244.15","80,581.96","79,707.11","379.08M","0.18%"
"2024/06/28","79,707.11","78,966.01","80,131.50","78,966.01","293.06M","0.93%"
"2024/06/27","78,969.33","79,144.91","79,254.71","78,684.41","245.32M","-0.36%"
"2024/06/26","79,252.39","79,776.42","80,148.70","79,237.26","268.06M","-0.41%"
"2024/06/25","79,577.57","80,177.83","80,263.14","79,385.76","1.19B","-0.85%"
"2024/06/24","80,263.14","79,876.39","80,671.24","79,767.56","253.43M","0.62%"
"2024/06/21","79,767.56","79,961.53","80,548.66","79,664.20","808.43M","-0.38%"
"2024/06/20","80,073.05","80,687.76","81,067.61","80,007.53","504.05M","-0.79%"
"2024/06/19","80,713.72","80,211.54","81,364.39","79,748.83","573.70M","1.21%"
"2024/06/18","79,748.83","77,457.36","80,013.70","77,053.78","458.75M","3.50%"
"2024/06/14","77,053.78","76,421.95","77,635.62","76,349.27","342.50M","0.88%"
"2024/06/13","76,382.02","76,857.61","77,050.80","76,347.68","291.67M","-0.87%"
"2024/06/12","77,050.80","76,226.14","77,271.19","76,077.30","221.73M","1.28%"
"2024/06/11","76,077.30","76,237.67","76,387.51","75,753.44","246.54M","-0.15%"
"2024/06/10","76,188.16","76,425.49","76,851.78","76,036.57","149.08M","-0.86%"
"2024/06/07","76,851.78","77,091.40","77,387.08","76,630.66","211.52M","-0.35%"
"2024/06/06","77,123.64","77,079.25","77,409.76","76,790.02","175.36M","0.38%"
"2024/06/05","76,829.13","77,096.33","77,207.65","76,533.10","222.27M","0.00%"
"2024/06/04","76,832.74","77,747.33","77,854.52","76,832.74","249.20M","-1.17%"
"2024/06/03","77,746.23","77,396.72","77,809.65","76,704.26","249.82M","1.36%"
"2024/05/31","76,704.26","77,068.06","77,323.53","76,653.40","429.23M","-0.59%"
"2024/05/30","77,161.71","77,198.59","78,576.14","76,795.85","312.93M","-1.80%"
"2024/05/28","78,576.14","78,984.52","79,253.32","78,540.24","199.13M","-0.44%"
"2024/05/27","78,920.88","79,111.75","79,358.02","78,920.88","130.54M","-0.29%"
"2024/05/24","79,150.84","78,751.94","79,399.36","78,426.16","173.06M","0.25%"
"2024/05/23","78,956.07","79,313.76","80,025.15","78,956.07","208.98M","-0.67%"
"2024/05/22","79,492.57","79,723.38","80,094.46","79,486.73","254.42M","-0.40%"
"2024/05/21","79,808.07","79,379.87","80,072.99","79,379.87","197.33M","-0.33%"
"2024/05/20","80,072.99","79,762.62","80,213.66","79,530.63","221.65M","0.68%"
"2024/05/17","79,530.63","79,439.15","79,737.06","78,970.42","197.70M","0.03%"
"2024/05/16","79,508.98","79,379.71","79,755.01","79,361.57","285.76M","0.19%"
"2024/05/15","79,361.57","78,869.67","79,574.19","78,632.58","281.31M","0.93%"
"2024/05/14","78,632.58","78,484.48","79,023.03","78,383.74","350.46M","-0.07%"
"2024/05/13","78,686.89","78,436.52","78,860.87","78,365.04","166.80M","0.28%"
"2024/05/10","78,464.22","77,905.24","78,777.73","77,539.15","204.32M","1.19%"
"2024/05/09","77,539.15","77,245.89","77,573.02","76,864.01","206.03M","0.47%"
"2024/05/08","77,177.43","76,889.91","77,230.35","76,673.11","223.62M","0.32%"
"2024/05/07","76,929.48","77,089.83","77,159.02","76,776.45","192.64M","0.20%"
"2024/05/06","76,776.45","76,915.86","77,333.82","76,428.33","163.81M","0.46%"
"2024/05/03","76,428.33","76,544.94","76,978.05","76,046.85","209.94M","0.50%"
"2024/05/02","76,046.85","76,319.27","76,842.08","75,978.31","248.32M","-0.04%"
"2024/04/30","76,076.17","76,253.53","76,671.74","76,076.17","294.38M","-0.50%"
"2024/04/29","76,456.15","75,677.19","76,472.22","75,370.99","255.04M","1.44%"
"2024/04/26","75,370.99","74,922.01","75,576.83","74,329.37","223.64M","1.40%"
"2024/04/25","74,329.37","74,498.83","74,787.66","73,790.52","229.15M","-0.25%"
"2024/04/24","74,513.93","74,421.94","74,730.34","74,010.83","257.42M","0.68%"
"2024/04/23","74,010.83","73,916.55","74,177.64","73,539.83","242.86M","0.63%"
"2024/04/22","73,551.12","73,657.37","73,870.68","73,363.56","227.17M","0.26%"
"2024/04/19","73,363.56","73,207.06","73,375.52","72,534.67","221.26M","0.13%"
"2024/04/18","73,271.43","73,306.67","73,487.36","72,797.43","297.41M","0.38%"
"2024/04/17","72,995.18","72,810.26","73,526.40","72,745.06","287.94M","-0.01%"
"2024/04/16","72,999.60","73,401.27","74,518.63","72,855.08","301.76M","-2.04%"
"2024/04/15","74,518.63","75,024.26","75,311.76","74,460.55","268.25M","-1.05%"
"2024/04/12","75,311.76","75,810.46","75,925.97","75,081.96","309.52M","0.01%"
"2024/04/11","75,303.25","75,588.25","75,744.75","74,894.00","233.74M","-0.29%"
"2024/04/10","75,520.37","75,791.58","76,146.49","74,837.70","329.26M","0.04%"
"2024/04/09","75,486.92","75,418.43","75,905.73","75,258.11","305.51M","0.20%"
